1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/112 Cartesian=0.0000000 0.0000000 0.0000000 (2109 plane wave)
 1 -6.139950861797452 0.009259259259259245
 2 5.699097733818506 0.009259259259259245
 3 5.701444442662051 0.009259259259259245
 4 5.699743059024360 0.009259259259259245
 5 8.462155537212153 0.000000000000000
 6 8.461367259009743 0.000000000000000
 7 8.462263950811218 0.000000000000000
 8 9.003925007826385 0.000000000000000
 9 13.67325658399798 0.000000000000000
 10 13.72378362303540 0.000000000000000
 11 13.76946032722733 0.000000000000000
 12 17.30884438151934 0.000000000000000
 13 17.30586575706857 0.000000000000000
 14 17.30693625644533 0.000000000000000

 spin=1 k-point=2/112 Cartesian=-0.1666666666666727 -0.1666666666666727 0.1666666666666727 (2112 plane wave)
 1 -5.783808216431816 0.01851851851851849
 2 3.385826025780976 0.01851851851851849
 3 5.280899127077539 0.01851851851851849
 4 5.280085058517209 0.01851851851851849
 5 8.171995089404176 0.000000000000000
 6 9.085238933514482 0.000000000000000
 7 9.089456674659182 0.000000000000000
 8 11.13104482742030 0.000000000000000
 9 13.01914948223876 0.000000000000000
 10 13.02252192771594 0.000000000000000
 11 15.07216111717786 0.000000000000000
 12 16.68713048727992 0.000000000000000
 13 19.09840366637508 0.000000000000000
 14 19.10091227875850 0.000000000000000

 spin=1 k-point=3/112 Cartesian=-0.3333333333333299 -0.3333333333333299 0.3333333333333299 (2114 plane wave)
 1 -4.785057935659231 0.01851851851851849
 2 0.4796484470339322 0.01851851851851849
 3 4.754223155565564 0.01851851851851849
 4 4.753907938667855 0.01851851851851849
 5 7.567429171179704 0.000000000000000
 6 9.415100226574941 0.000000000000000
 7 9.416899251796892 0.000000000000000
 8 13.81834890999295 0.000000000000000
 9 13.83030619409594 0.000000000000000
 10 13.88350526696960 0.000000000000000
 11 14.98350899692269 0.000000000000000
 12 19.47322761589914 0.000000000000000
 13 20.37095316294985 0.000000000000000
 14 20.37206362060720 0.000000000000000

 spin=1 k-point=4/112 Cartesian=-0.5000000000000012 -0.5000000000000012 0.5000000000000012 (2120 plane wave)
 1 -3.862655698238757 0.009259259259259245
 2 -1.117172099367535 0.009259259259259245
 3 4.559064011958252 0.009259259259259245
 4 4.559963919770480 0.009259259259259245
 5 7.331024912796494 0.000000000000000
 6 9.279715863105281 0.000000000000000
 7 9.277853435464108 0.000000000000000
 8 13.78992182537600 0.000000000000000
 9 16.35447592087532 0.000000000000000
 10 16.36416000348314 0.000000000000000
 11 17.13589489445304 0.000000000000000
 12 17.15920625026806 0.000000000000000
 13 17.18333121761934 0.000000000000000
 14 18.74888545363414 0.000000000000000

 spin=1 k-point=5/112 Cartesian=0.1666666666666727 0.1666666666666727 0.1666666666666727 (2112 plane wave)
 1 -5.783525798286111 0.01851851851851849
 2 3.381147897805306 0.01851851851851849
 3 5.284021289464237 0.01851851851851849
 4 5.282402219584602 0.01851851851851849
 5 8.176467491674821 0.000000000000000
 6 9.084295163734350 0.000000000000000
 7 9.081582362946422 0.000000000000000
 8 11.13264692188709 0.000000000000000
 9 13.02216306696656 0.000000000000000
 10 13.02074299638154 0.000000000000000
 11 15.07366586560266 0.000000000000000
 12 16.68941094854531 0.000000000000000
 13 19.09996788572604 0.000000000000000
 14 19.09760042934918 0.000000000000000

 spin=1 k-point=6/112 Cartesian=0.000000000000000 0.000000000000000 0.3333333333333453 (2105 plane wave)
 1 -5.662021671848589 0.01851851851851849
 2 3.660253918910769 0.01851851851851849
 3 4.584335856693721 0.01851851851851849
 4 4.589842728605940 0.01851851851851849
 5 7.629882114408514 0.000000000000000
 6 10.13469430466771 0.000000000000000
 7 10.15525937803279 0.000000000000000
 8 10.15088361473182 0.000000000000000
 9 12.42319686540551 0.000000000000000
 10 14.14565280396281 0.000000000000000
 11 15.72230854335811 0.000000000000000
 12 18.11249736677428 0.000000000000000
 13 18.11208532923617 0.000000000000000
 14 18.63572509818295 0.000000000000000

 spin=1 k-point=7/112 Cartesian=-0.1666666666666572 -0.1666666666666572 0.5000000000000026 (2106 plane wave)
 1 -4.858963269242936 0.01851851851851849
 2 1.328553421542706 0.01851851851851849
 3 3.810090976884712 0.01851851851851849
 4 4.040023716560791 0.01851851851851849
 5 7.874084413463383 0.000000000000000
