1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/1 Cartesian=0.0000000 0.0000000 0.0000000 (2109 plane wave)
 1 -4.677388949379411 2.000000000000000
 2 7.526137194870919 1.999999999999967
 3 7.526137194871173 1.999999999999967
 4 7.526137194878170 1.999999999999967
 5 9.715016878453405 3.363975764614224e-14
 6 9.715016878454504 3.363975764614224e-14
 7 9.715016878491651 3.363975764614224e-14
 8 10.99251516922256 0.000000000000000
 9 14.58909570687436 0.000000000000000
 10 14.66688213363081 0.000000000000000
 11 14.66688213362389 0.000000000000000
 12 17.89818394338841 0.000000000000000
 13 17.89818394333321 0.000000000000000
 14 17.89818394332440 0.000000000000000

